Iteration,Discriminator Loss,Generator Loss
4130,1.319885,0.449168
4140,1.310681,0.685649
4150,1.271522,0.627668
4160,1.244643,0.785836
4170,1.249969,0.627100
4180,1.232908,0.627430
4190,1.308779,0.591871
4200,1.252360,0.575190
4210,1.400857,0.782561
4220,1.308555,0.653392
4230,1.190225,0.598318
4240,1.251368,0.463700
4250,1.210818,0.623005
4260,1.310157,0.748121
4270,1.200640,0.625964
4280,1.288490,0.468933
4290,1.211833,0.632461
4300,1.359504,0.795882
4310,1.210515,0.578687
4320,1.154577,0.415726
4330,1.254536,0.525242
4340,1.360415,0.646246
4350,1.242004,0.566672
4360,1.248679,0.623872
4370,1.229567,0.670461
4380,1.170841,0.519066
4390,1.402297,0.499677
4400,1.354788,0.677686
4410,1.122195,0.517939
4420,1.185126,0.683272
4430,1.288908,0.525638
4440,1.204476,0.729887
4450,1.158776,0.631971
4460,1.215711,0.633639
4470,1.149181,0.718230
4480,1.235425,0.685829
4490,1.327250,0.539643
4500,1.519532,0.619875
4510,1.359908,0.537570
4520,1.251511,0.541571
4530,1.322605,0.701874
4540,1.197306,0.424192
4550,1.416735,0.506023
4560,1.236950,0.656446
4570,1.179836,0.488993
4580,1.299282,0.736305
4590,1.337197,0.601402
4600,1.256310,0.576892
4610,1.249602,0.429957
4620,1.197879,0.535914
4630,1.179853,0.688787
4640,1.321377,0.655900
4650,1.317256,0.670508
4660,1.282315,0.619465
4670,1.309366,0.541874
4680,1.250843,0.367250
4690,1.194127,0.880809
4700,1.184437,0.702939
4710,1.316384,0.596703
4720,1.328088,0.759300
4730,1.251763,0.733239
4740,1.210609,0.474373
4750,1.329692,0.498777
4760,1.236937,0.675853
4770,1.290913,0.755723
4780,1.349912,0.515204
4790,1.260139,0.674894
4800,1.323520,0.751728
4810,1.605986,0.700763
4820,1.331102,0.743908
4830,1.273135,0.479916
4840,1.462173,0.651353
4850,1.307205,0.797704
4860,1.177625,0.368912
4870,1.262053,0.664037
4880,1.492134,0.422291
4890,1.290635,0.629112
4900,1.327330,0.524426
4910,1.347713,0.711847
4920,1.273668,0.612022
4930,1.315409,0.615628
4940,1.197044,0.484676
4950,1.366929,0.515467
4960,1.366580,0.691503
4970,1.361416,0.768980
4980,1.352779,0.966322
4990,1.418087,0.699230
5000,1.346599,0.516121
5010,1.299077,0.706227
5020,1.301095,0.691118
5030,1.352101,0.525125
5040,1.340479,0.719355
5050,1.331231,0.621734
5060,1.428643,0.665969
5070,1.278751,0.660300
5080,1.325775,0.671143
5090,1.225720,0.543446
5100,1.192209,0.541167
5110,1.263364,0.463095
5120,1.245909,0.683085
5130,1.557311,0.604486
5140,1.302714,0.840266
5150,1.207636,0.476793
5160,1.306607,0.660406
5170,1.322691,0.518099
5180,1.389279,0.834458
5190,1.200086,0.483125
5200,1.283022,0.582090
5210,1.185580,0.610798
5220,1.358225,0.691267
5230,1.104377,0.373195
5240,1.350089,0.860487
5250,1.180975,0.548334
5260,1.162621,0.669743
5270,1.160885,0.622771
5280,1.306277,0.749506
5290,1.180092,0.687031
5300,1.289795,0.553890
5310,1.164177,0.651703
5320,1.163935,0.621001
5330,1.353036,0.435884
5340,1.288760,0.563044
5350,1.280491,0.536943
5360,1.186453,0.529570
5370,1.303289,0.717870
5380,1.242138,0.710327
5390,1.272291,0.694090
5400,1.349311,0.364662
5410,1.290698,0.680057
5420,1.174307,0.713172
5430,1.315063,0.808139
5440,1.282055,0.643145
5450,1.194431,0.333813
5460,1.628920,0.616736
5470,1.284759,0.595825
5480,1.295331,0.420721
5490,1.318129,0.925354
5500,1.307790,0.432181
5510,1.261156,0.661112
5520,1.294902,0.598426
5530,1.272958,0.513269
5540,1.370600,0.663471
5550,1.205707,0.694874
5560,1.395249,0.519665
5570,1.462508,0.429476
5580,1.288741,0.692318
5590,1.154799,0.707212
5600,1.245436,0.471447
5610,1.206867,0.469128
5620,1.403646,0.470416
5630,1.298331,0.645376
5640,1.232444,0.667172
5650,1.255461,0.691470
5660,1.122984,0.601613
5670,1.304620,0.624131
5680,1.287528,0.404206
5690,1.213173,0.595770
5700,1.385226,0.773731
5710,1.362162,0.661666
5720,1.335344,0.671131
5730,1.190183,0.591771
5740,1.258210,0.542567
5750,1.267711,0.650708
5760,1.181076,0.480001
5770,1.240834,0.716188
5780,1.252726,0.740826
5790,1.290702,0.694541
5800,1.285376,0.623919
5810,1.275458,0.516240
5820,1.272453,0.589705
5830,1.331507,0.609392
5840,1.240640,0.685695
5850,1.343618,0.472271
5860,1.223117,0.612036
5870,1.303863,0.612767
5880,1.239488,0.611702
5890,1.221747,0.632716
5900,1.251113,0.666517
5910,1.362593,0.675460
5920,1.382564,0.814706
5930,1.407114,0.377326
5940,1.257606,0.716364
5950,1.335086,0.677500
5960,1.327812,0.451948
5970,1.317422,0.649989
5980,1.358958,0.521170
5990,1.236636,0.535852
6000,1.297559,0.519889
6010,1.281784,0.468541
6020,1.343573,0.706416
6030,1.327281,0.642274
6040,1.241120,0.773757
6050,1.304875,0.745464
6060,1.166868,0.644976
6070,1.269802,0.607706
6080,1.364002,0.691575
6090,1.192714,0.673182
6100,1.336278,0.484338
6110,1.341952,0.678250
6120,1.202991,0.595953
6130,1.378977,0.431514
6140,1.324150,0.671266
6150,1.298665,0.620149
6160,1.317176,0.500552
6170,1.317707,0.686512
6180,1.414172,0.767863
6190,1.251490,0.714138
6200,1.356760,0.402895
6210,1.315928,0.689143
6220,1.161678,0.612053
6230,1.279962,0.726962
6240,1.208403,0.604050
6250,1.177043,0.633315
6260,1.331654,0.544001
6270,1.246064,0.678511
6280,1.198985,0.626529
6290,1.281319,0.664237
6300,1.317497,0.719646
6310,1.376261,0.714458
6320,1.262821,0.632562
6330,1.343993,0.719164
6340,1.420661,0.509424
6350,1.274912,0.789551
6360,1.289549,0.610985
6370,1.324216,0.785133
6380,1.295449,0.393997
6390,1.187421,0.565635
6400,1.184347,0.801794
6410,1.550531,0.669083
6420,1.347363,0.527333
6430,1.233398,0.781466
6440,1.228973,0.617415
6450,1.180233,0.576456
6460,1.305666,0.611593
6470,1.359591,0.816377
6480,1.308584,0.560369
6490,1.274905,0.578005
6500,1.300334,0.666048
6510,1.376751,0.694968
6520,1.266106,0.697776
6530,1.543058,0.562609
6540,1.270842,0.855772
6550,1.351459,0.750466
6560,1.268564,0.536044
6570,1.328652,0.457658
6580,1.225684,0.451050
6590,1.358953,0.724529
6600,1.316362,0.733418
6610,1.511274,0.673343
6620,1.249303,0.771340
6630,1.311734,0.596997
6640,1.222485,0.693513
6650,1.295247,0.647673
6660,1.234513,0.640139
6670,1.252647,0.691741
6680,1.236714,0.619285
6690,1.368550,0.679999
6700,1.242569,0.686414
6710,1.217762,0.636303
6720,1.343697,0.751679
6730,1.334671,0.597897
6740,1.169888,0.569827
6750,1.352970,0.659190
6760,1.285220,0.754043
6770,1.184770,0.703896
6780,1.254423,0.579378
6790,1.463482,0.623666
6800,1.355894,0.525516
6810,1.341950,0.581101
6820,1.202155,0.462579
6830,1.218730,0.692267
6840,1.228653,0.633179
6850,1.131016,0.424894
6860,1.244840,0.673854
6870,1.506491,0.652587
